File name                     Graph size  Result
graph_803_0.2_2.txt           803         13764     not found 
graph_91_0.8_9.txt            91          258       not found 
graph_269_0.2_9.txt           269         316       not found 
graph_770_0.6_4.txt           770         -         timed out 
graph_496_0.8_1.txt           496         -         timed out 
graph_718_0.6_5.txt           718         -         timed out 
graph_849_0.8_1.txt           849         -         timed out 
graph_753_0.2_7.txt           753         9775      not found 
graph_769_0.6_4.txt           769         -         timed out 
graph_252_0.6_2.txt           252         2749      not found 
graph_301_0.2_0.txt           301         611       not found 
graph_208_0.2_7.txt           208         260       not found 
graph_912_0.6_9.txt           912         -         timed out 
graph_928_0.4_0.txt           928         -         timed out 
graph_259_0.6_6.txt           259         2894      not found 
graph_933_0.8_2.txt           933         -         timed out 
graph_997_0.4_0.txt           997         -         timed out 
graph_844_1_0.txt             844         8465      found     
graph_223_0.6_8.txt           223         1896      not found 
graph_310_0.6_4.txt           310         5708      not found 
graph_120_0.8_2.txt           120         390       not found 
graph_431_0.6_0.txt           431         23045     not found 
graph_496_0.6_7.txt           496         -         timed out 
graph_923_0.2_6.txt           923         22735     not found 
graph_940_0.6_9.txt           940         -         timed out 
graph_157_0.8_8.txt           157         1007      not found 
graph_193_0.2_4.txt           193         114       not found 
graph_517_0.8_4.txt           517         -         timed out 
graph_696_0.2_3.txt           696         7551      not found 
graph_692_0.2_0.txt           692         7112      not found 
graph_415_0.8_0.txt           415         -         timed out 
graph_112_0.8_3.txt           112         388       not found 
graph_413_0.8_2.txt           413         -         timed out 
graph_552_0.4_3.txt           552         20477     not found 
graph_832_1_0.txt             832         8222      found     
graph_149_0.8_0.txt           149         802       not found 
graph_323_0.8_7.txt           323         13082     not found 
graph_555_0.2_6.txt           555         3145      not found 
graph_532_0.6_7.txt           532         -         timed out 
graph_931_0.8_8.txt           931         -         timed out 
graph_440_0.2_7.txt           440         1594      not found 
graph_760_1_0.txt             760         6352      found     
graph_546_0.2_4.txt           546         3265      not found 
graph_403_0.4_4.txt           403         5291      not found 
graph_156_0.8_9.txt           156         950       not found 
graph_295_0.4_9.txt           295         1898      not found 
graph_130_0.2_0.txt           130         78        not found 
graph_104_0.2_6.txt           104         73        not found 
graph_95_0.4_4.txt            95          255       not found 
graph_99_0.6_0.txt            99          168       not found 
graph_61_0.4_1.txt            61          38        not found 
graph_888_0.2_1.txt           888         18855     not found 
graph_265_0.2_1.txt           265         357       not found 
graph_228_0.2_4.txt           228         202       not found 
graph_649_0.6_7.txt           649         -         timed out 
graph_906_0.2_7.txt           906         21646     not found 
graph_50_0.6_0.txt            50          88        not found 
graph_26_0.2_9.txt            26          4         not found 
graph_457_0.6_2.txt           457         -         timed out 
graph_72_0.8_3.txt            72          130       not found 
graph_380_0.6_7.txt           380         13173     not found 
graph_468_0.4_7.txt           468         10939     not found 
graph_37_0.6_5.txt            37          22        not found 
graph_792_0.6_4.txt           792         -         timed out 
graph_830_0.6_7.txt           830         -         timed out 
graph_928_0.8_2.txt           928         -         timed out 
graph_50_0.8_9.txt            50          66        not found 
graph_525_0.8_8.txt           525         -         timed out 
graph_819_0.2_9.txt           819         12657     not found 
graph_515_0.8_2.txt           515         -         timed out 
graph_529_0.4_9.txt           529         17701     not found 
graph_85_0.2_2.txt            85          40        not found 
graph_187_0.8_9.txt           187         1499      not found 
graph_25_1_0.txt              25          12        found     
graph_103_0.4_8.txt           103         203       not found 
graph_452_0.8_3.txt           452         -         timed out 
graph_561_0.2_2.txt           561         3541      not found 
graph_332_0.2_7.txt           332         677       not found 
graph_267_0.6_0.txt           267         3057      not found 
graph_830_0.8_3.txt           830         -         timed out 
graph_823_0.4_2.txt           823         -         timed out 
graph_619_0.6_4.txt           619         -         timed out 
graph_740_0.6_9.txt           740         -         timed out 
graph_114_0.4_4.txt           114         178       not found 
graph_673_0.2_0.txt           673         7038      not found 
graph_199_0.2_8.txt           199         159       not found 
graph_126_0.2_6.txt           126         73        not found 
graph_146_0.6_9.txt           146         437       not found 
graph_6_0.6_2.txt             6           3         found     
graph_300_0.2_0.txt           300         513       not found 
graph_927_0.4_2.txt           927         -         timed out 
graph_779_1_0.txt             779         7852      found     
graph_957_0.2_0.txt           957         27475     not found 
graph_305_0.8_1.txt           305         9898      not found 
graph_364_0.6_6.txt           364         11233     not found 
graph_805_0.8_3.txt           805         -         timed out 
graph_423_0.8_1.txt           423         -         timed out 
graph_844_0.6_9.txt           844         -         timed out 
graph_307_0.2_8.txt           307         524       not found 
graph_948_0.4_0.txt           948         -         timed out 
graph_518_0.4_1.txt           518         18120     not found 
graph_624_0.2_9.txt           624         5188      not found 
graph_430_0.8_5.txt           430         -         timed out 
graph_299_0.4_6.txt           299         1998      not found 
graph_768_0.2_6.txt           768         11124     not found 
graph_891_0.8_7.txt           891         -         timed out 
graph_429_0.4_4.txt           429         7057      not found 
graph_149_0.2_1.txt           149         146       not found 
graph_633_0.8_6.txt           633         -         timed out 
graph_319_0.6_4.txt           319         5846      not found 
graph_175_0.6_0.txt           175         1063      not found 
graph_541_0.8_3.txt           541         -         timed out 
graph_632_0.4_5.txt           632         -         timed out 
graph_137_0.4_4.txt           137         367       not found 
graph_845_0.2_1.txt           845         15874     not found 
graph_263_0.8_2.txt           263         6265      not found 
graph_442_0.4_5.txt           442         8591      not found 
graph_325_0.6_1.txt           325         6470      not found 
graph_747_0.8_1.txt           747         -         timed out 
graph_142_0.2_8.txt           142         68        not found 
graph_955_0.8_4.txt           955         -         timed out 
graph_650_0.4_6.txt           650         -         timed out 
graph_247_0.8_1.txt           247         4869      not found 
graph_214_0.2_8.txt           214         226       not found 
graph_582_0.8_2.txt           582         -         timed out 
graph_453_0.6_0.txt           453         29802     not found 
graph_174_0.2_8.txt           174         186       not found 
graph_691_0.6_3.txt           691         -         timed out 
graph_845_0.4_6.txt           845         -         timed out 
graph_206_0.6_9.txt           206         1394      not found 
graph_366_0.2_1.txt           366         858       not found 
graph_517_0.8_9.txt           517         -         timed out 
graph_995_0.6_1.txt           995         -         timed out 
graph_703_0.4_2.txt           703         -         timed out 
graph_650_0.2_5.txt           650         6078      not found 
graph_724_0.4_0.txt           724         -         timed out 
graph_253_0.4_1.txt           253         1147      not found 
graph_286_0.2_7.txt           286         494       not found 
graph_527_0.6_2.txt           527         -         timed out 
graph_740_0.4_1.txt           740         -         timed out 
graph_864_0.4_6.txt           864         -         timed out 
graph_369_0.2_3.txt           369         926       not found 
graph_873_0.8_3.txt           873         -         timed out 
graph_999_0.8_3.txt           999         -         timed out 
graph_796_0.2_7.txt           796         12232     not found 
graph_502_0.2_7.txt           502         2343      not found 
graph_271_0.6_7.txt           271         3423      not found 
graph_790_0.4_9.txt           790         -         timed out 
graph_279_0.4_1.txt           279         1670      not found 
graph_509_0.2_4.txt           509         2472      not found 
graph_618_0.6_5.txt           618         -         timed out 
graph_144_0.4_7.txt           144         383       not found 
graph_368_0.6_2.txt           368         10940     not found 
graph_387_0.6_9.txt           387         13099     not found 
graph_25_0.4_3.txt            25          8         not found 
graph_583_0.6_8.txt           583         -         timed out 
graph_562_0.8_3.txt           562         -         timed out 
graph_774_0.8_2.txt           774         -         timed out 
graph_649_0.2_6.txt           649         6002      not found 
graph_778_0.8_6.txt           778         -         timed out 
graph_388_0.4_3.txt           388         4491      not found 
graph_430_0.6_0.txt           430         22317     not found 
graph_627_0.6_7.txt           627         -         timed out 
graph_743_0.2_2.txt           743         10072     not found 
graph_6_0.2_8.txt             6           1         found     
graph_560_0.2_8.txt           560         3293      not found 
graph_46_0.4_9.txt            46          23        not found 
graph_177_0.2_8.txt           177         268       not found 
graph_380_0.4_0.txt           380         4673      not found 
graph_619_0.2_3.txt           619         5052      not found 
graph_766_0.6_5.txt           766         -         timed out 
graph_282_0.2_2.txt           282         363       not found 
graph_376_0.4_1.txt           376         4361      not found 
graph_860_0.2_7.txt           860         16202     not found 
graph_859_0.4_9.txt           859         -         timed out 
graph_677_0.4_1.txt           677         -         timed out 
graph_514_0.8_3.txt           514         -         timed out 
graph_916_0.2_4.txt           916         21849     not found 
graph_987_0.2_3.txt           987         -         timed out 
graph_272_0.2_0.txt           272         409       not found 
graph_819_0.6_0.txt           819         -         timed out 
graph_184_0.4_5.txt           184         471       not found 
graph_685_0.4_8.txt           685         -         timed out 
graph_74_0.6_6.txt            74          114       not found 
graph_601_0.6_0.txt           601         -         timed out 
graph_393_0.4_6.txt           393         5224      not found 
graph_607_0.6_4.txt           607         -         timed out 
graph_201_0.8_1.txt           201         2332      not found 
graph_349_1_0.txt             349         280       found     
graph_470_0.2_5.txt           470         1837      not found 
graph_178_0.2_6.txt           178         141       not found 
graph_323_0.2_1.txt           323         548       not found 
graph_402_0.8_3.txt           402         -         timed out 
graph_750_1_0.txt             750         6268      found     
graph_619_0.8_0.txt           619         -         timed out 
graph_972_0.8_5.txt           972         -         timed out 
graph_732_0.4_3.txt           732         -         timed out 
graph_209_0.2_3.txt           209         160       not found 
graph_256_0.2_4.txt           256         276       not found 
graph_557_0.2_6.txt           557         3354      not found 
graph_338_0.6_0.txt           338         7781      not found 
graph_684_0.8_7.txt           684         -         timed out 
graph_860_0.4_8.txt           860         -         timed out 
graph_57_0.8_3.txt            57          72        not found 
graph_867_0.2_4.txt           867         18250     not found 
graph_731_0.6_9.txt           731         -         timed out 
graph_874_0.2_1.txt           874         17949     not found 
graph_510_0.4_6.txt           510         15315     not found 
graph_662_0.2_7.txt           662         6534      not found 
graph_29_0.2_2.txt            29          10        not found 
graph_341_0.2_7.txt           341         725       not found 
graph_102_0.4_0.txt           102         153       not found 
graph_928_0.4_6.txt           928         -         timed out 
graph_576_0.6_8.txt           576         -         timed out 
graph_850_0.8_7.txt           850         -         timed out 
graph_522_0.8_3.txt           522         -         timed out 
graph_483_0.8_1.txt           483         -         timed out 
graph_1000_0.8_2.txt          1000        -         timed out 
graph_754_0.4_3.txt           754         -         timed out 
graph_504_0.4_8.txt           504         16126     not found 
graph_845_0.4_4.txt           845         -         timed out 
graph_862_0.6_8.txt           862         -         timed out 
graph_729_0.2_9.txt           729         9087      not found 
graph_648_0.4_8.txt           648         -         timed out 
graph_733_0.2_1.txt           733         9001      not found 
graph_211_0.6_1.txt           211         1556      not found 
graph_620_0.6_9.txt           620         -         timed out 
graph_645_0.4_3.txt           645         -         timed out 
graph_97_0.8_8.txt            97          223       not found 
graph_716_0.6_0.txt           716         -         timed out 
graph_303_0.8_6.txt           303         10607     not found 
graph_750_0.4_8.txt           750         -         timed out 
graph_555_0.4_9.txt           555         21190     not found 
